Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
001-759-543-067-376,Knowledge organization: An epistemological perspective,,2004,journal article,Knowledge Organization,09437444,,,Chaim Zins,"This philosophical essay explores the epistemological foundations of knowledge organization and discusses implications for classification research. The study defines the concept of knowledge, distinguishes between subjective knowledge (i.e., knowledge as a thought in the individual's mind) and objective knowledge (i.e., knowledge as an independent object), establishes the necessity of knowledge organization in the construction of knowledge and its key role in the creation, learning, and dissemination of knowledge, and concludes with implications for the development of classification schemes and knowledge maps.",31,1,49,54,Epistemology; Classification scheme; Sociology; Cognitive map; Knowledge organization; Objective knowledge; Information science,,,,,,,,,2977891513,,0,037-025-648-608-400; 049-114-819-418-24X; 061-606-109-184-229; 093-637-585-548-014; 176-719-350-228-09X,9
002-908-019-710-006,Book numbers in india with special reference to the author table for indian names designed and used by the national library of india,,2007,journal article,Knowledge Organization,09437444,,,M.P. Satija,"A book number takes shelf arrangement of documents to a point where classification per se cannot. Class number alone is not able to uniquely indivdiualise a document on the library shelves. The function of a book number starts from where that of the class number ends. An author number also brings together all the books by one author in one specific subject. A chronological book number will clearly portray the development of a subject over a given period. Book numbers are indispensable for a shelflist. The National Library (NL) of India at Kolkata has a collection of about 3 million documents. For organizing its contents it uses the DDC and the shelf arrangement is by Cutter's three figure author table. For Indian names it uses its home-made author table described here. Though the National Library table is designed especially for Indian names across all religions and regional cultures, yet its use outside the National Library has not been reported mostly due lack of marketing. Since 1961 the Indian cultural names have undergone many changes. The need is to revise and update the table to reflect the current culture and new authors across India.",34,1,34,40,World Wide Web; Sociology; Stock management; Library science; Class number; National library; Proper noun; Document processing,,,,,,,,,2494631402,,0,,1
003-748-818-409-881,Opening Ontology Design: A Study of the Implications of Knowledge Organization for Ontology Design,,2008,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Ok nam Park,,35,4,209,221,Ontology; Knowledge organization; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-2008-4-209,http://dx.doi.org/10.5771/0943-7444-2008-4-209,,10.5771/0943-7444-2008-4-209,2892932211,,0,,7
004-167-761-653-904,,,2007,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,34,4,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-2007-4,,10.5771/0943-7444-2007-4,,,0,,0
004-982-241-501-860,"Folksonomies, Tagging Communities, and Tagging Strategies-An Empirical Study",,2007,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Timme Bisgaard Munk; Kristian Mørk,"The subject of this article is folksonomies on the Internet. One of the largest folksonomies on the Internet in terms of number of users and tagged websites is the computer program del.icio.us, where more than 100,000 people have tagged the websites that they and others find using their own keywords. How this is done in practice and the patterns to be found are the focus of this article. The empirical basis is the collection of 76,601 different keywords with a total frequency of 178,215 from 500 randomly chosen taggers on del.icio.us. at the end of 2005. The keywords collected were then analyzed quantitatively statistically by uncovering their frequency and percentage distribution and through a statistical correspondence analysis in order to uncover possible patterns in the users' tags. Subsequently, a qualitative textual analysis of the tags was made in order to find out by analysis which tagging strategies are represented in the data material. This led to four conclusions. 1) the distribution of keywords follows classic power law; 2) distinct tagging communities are identifiable; 3) the most frequently used tags are situated on a general-specific axis; and 4) nine distinct tagging strategies are observed. These four conclusions are put into perspective collectively in respect of a number of more general and theoretical considerations concerning folksonomies and the classification systems of the future.",34,3,115,127,The Internet; Empirical research; World Wide Web; Correspondence analysis; Information retrieval; Total frequency; Percentage distribution; Qualitative analysis; Computer science; Markup language; Social network,,,,,http://cat.inist.fr/?aModele=afficheN&cpsidt=19954919 http://dx.doi.org/10.5771/0943-7444-2007-3-115,http://dx.doi.org/10.5771/0943-7444-2007-3-115,,10.5771/0943-7444-2007-3-115,2460633067,,0,,18
006-260-890-457-159,Using audio description for indexing moving images,,2004,journal article,Knowledge Organization,09437444,,,James M. Turner; Emmanuël Colinet,"This paper includes some of the results of a study that looks at three types of text for automatically deriving shot-level indexing to moving images. Audio description is a voice added to the sound track of moving pictures to provide information for the visually impaired. We analyse two one-hour parts of a television production broadcast as a mini-series in 1997. We compare our results with those of a previous study, which identifies some of the characteristics of audio description and the associated moving image. We found close correspondence among some aspects studied and for other aspects much less correspondence, but for reasons we are able to explain. In addition, in the process of conducting the current study we further developed our methodology and now feel that it is a mature method for analysing audio description text as a source for generating indexing to the associated moving image.",31,4,222,230,Content analysis; Audio description; Audiovisual document; Television production; Visually impaired; Computer science; Multimedia; Search engine indexing; Broadcasting,,,,,,,,,2523968781,,0,,7
007-409-477-173-741,"Functionality and flexibility of traditional classification schemes applied to a Content Management System (CMS): facets, DDC, JITA",2007-01-01,2007,journal article,Knowledge Organization,09437444,,,Susanna Dal Porto; Andrea Marchitelli,"Paper presented at the 2nd ISKO Italy-UniMIB meeting, Milan, June 9 2006: http://www.iskoi.org/doc/milano06.htm; Different classification schemes may be used for web indexing. The authors analyze three weblogs (Biblioatipici, Letture and Andrea Marchitelli’s blog) to demonstrate that different contents may be classified using the appropriate scheme.; Biblioatipici is a weblog about temporary workers in libraries and Italian documentation centres, indexed with a faceted scheme, home made by authors. Letture, a diary about reading and books, is indexed by DDC; finally, Andrea Marchitelli’s blog, a weblog about digital libraries and open access, is indexed by JITA, the scheme used for indexing e-prints in some different open archives.; The three applications are presented starting from the most complex scheme (i.e. the faceted one) to the simple but least functional (JITA), passing through a traditional bibliographic classification scheme, the Dewey Decimal Classification.; The analysis demonstrates that different web contents can efficiently be classified with different schemes. In particular, with the facets one (Biblioatipici) the indexer is able to generate the needed classes in the indexing phase. Moreover with a small number of facets and foci one can obtain an exponential number of classes. Finally, one of the advantages for the user is that the faceted scheme allows multiple accesses on the basis of different information requirements, in addition to being coherent and intuitive. DDC scheme can be more suitable than the first web pages or blogs performing a sort of digital library. In this case in fact the DDC scheme constitutes a consolidated classification standard, widespread in a huge quantity of libraries and the use of a different scheme might get confusion. JITA scheme, finally, can find a huge applicability in web pages (or blogs) in LIS field showing several advantages: it’s very simple and essentialy pragmatic, intuitive and coherent. It’s a conservative scheme because structurally closed, in fact it does not allow the classifier to insert new LCS’s categories. If, from a certain point of view, this is a disadvantage, vice versa this feature is really useful because get a complete matching between classes of all the web pages implemented with it.",33,1,35,44,Dewey Decimal Classification; World Wide Web; Library classification; Web page; Information retrieval; Web indexing; Content management; Computer science; Digital library; Indexer; Search engine indexing,,,,,http://eprints.rclis.org/8778/ https://works.bepress.com/andrea_marchitelli/1/,http://eprints.rclis.org/8778/,,,1605904596,,0,013-595-252-334-822; 016-837-561-042-047; 038-249-176-007-541; 066-915-178-556-066; 150-754-933-797-462,8
007-732-361-200-429,ISKO 10’s Bookshelf: An Editorial,,2008,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Richard P. Smiraglia,,35,4,187,191,Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2008-4-187,http://dx.doi.org/10.5771/0943-7444-2008-4-187,,10.5771/0943-7444-2008-4-187,2893111128,,0,,2
012-310-673-639-60X,Conceptualizing metadata via repertory grids : Exploring a method for the development of domain-specific systems for knowledge organization,,2007,journal article,Knowledge Organization,09437444,,,Donna M. D'ambrosio,"This investigation was undertaken to explore the prospect of using the repertory grid structured interview technique as a tool for creating metadata. The following question is considered: Could Repertory Grid technique be used as a tool in the creation of metadata? It is postulated that repertory grid technique may be used as a tool for creating metadata labels, or tags, where the labels or tags describe entities, which may be images, documents or expressions. Repertory grid technique can provide a method for examining the detail about an individual's mental models, or personal construct systems of lifeworld entities, which may include images, documents or expressions. The question were considered by looking at the results of an earlier study, which explored the personal constructs of systems analysts using the repertory grid technique to examine the mental conceptualizations that determine the extent of difference in conceptualization. Categorical core areas of expressions used during software requirements development emerge through classification of the conceptualizations of expressions elicited via the repertory grid interviews. Repertory grid also reveals, through cluster analysis, the subtle difference in the way each participant conceptually related one expression to another expression. The differences in conceptual relationship of expressions or concepts could represent insight about how people view entities of a lifeworld. In a situation where metadata are used to label entities of a lifeworld for organization and retrieval of information, the differences in conceptual relationships might influence the metadata created and how they are used in the lifeworld for the organization and retrieval of information.",34,1,41,57,Structured interview; World Wide Web; Repertory grid; Knowledge organization; Lifeworld; Computer science; Software requirements; Expression (mathematics); Conceptualization; Metadata,,,,,,,,,2523514315,,0,,1
013-595-252-334-822,Classification of the Web: Challenges and Inquiries,,2004,journal article,Knowledge Organization,09437444,,,Jens-Erik Mai,"Mai, Jens-Erik. (2004). Classification of the Web: Challenges and Inquiries. Knowledge Organization, 31(2). 92-97. 33 refs. ABSTRACT: This paper discusses the challenges faced by investigations into the classification of the Web and outlines inquir- ies that are needed to use principles for bibliographic classification to construct classifications of the Web. This paper suggests that the classification of the Web meets challenges that call for inquiries into the theoretical foundation of bibliographic classi- fication theory.",31,2,92,97,World Wide Web; Content analysis; Library classification; Knowledge organization; Computer science,,,,,http://jenserikmai.info/Papers/2004_ClassisficationoftheWebChallengesandInquiries.pdf,http://jenserikmai.info/Papers/2004_ClassisficationoftheWebChallengesandInquiries.pdf,,,2342311396,,0,001-123-264-436-497; 005-766-981-957-927; 008-141-770-239-254; 014-482-297-957-834; 019-567-940-612-056; 025-695-726-174-626; 030-052-392-380-99X; 038-249-176-007-541; 051-531-011-193-550; 056-709-260-660-68X; 061-923-495-983-553; 078-004-047-952-032; 079-061-171-923-092; 080-945-058-659-719; 081-453-122-790-793; 112-955-151-624-260; 142-165-658-975-66X; 150-754-933-797-462; 156-000-087-799-115; 182-864-646-837-95X,11
