Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
000-117-196-664-334,"Classification and ""The Tree of Cognition""",,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,3,125,126,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-3-125,,10.5771/0943-7444-1987-3-125,,,0,,0
000-354-541-843-78X,"Soergel, D.: Organizing Information: Principles of Data Base and Retrieval Systems (R. Rada)",,1987,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,2,103,104,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-2-103,,10.5771/0943-7444-1987-2-103,,,0,,0
000-528-247-948-326,,,1987,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,14,3,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-1987-3,,10.5771/0943-7444-1987-3,,,0,,0
001-066-066-628-692,A. Serrai: Dai “loci communes“ alla bibliometria (M. T. Biogetti),,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,43,44,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-43,,10.5771/0943-7444-1985-1-43,,,0,,0
001-377-076-515-956,FID/CR News 13,,1985,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,12,1,29,32,,,,,,,http://dx.doi.org/10.5771/0943-7444-1985-1-29,,10.5771/0943-7444-1985-1-29,,,0,,1
003-052-504-466-394,Titelei/Inhaltsverzeichnis,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,1,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-1-i,,10.5771/0943-7444-1988-1-i,,,0,,0
004-162-009-909-42X,Evolutionary Visions of the Future. Special issue of “Systems Research“. (H. Löckenhoff),,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,1,42,45,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-1-42,,10.5771/0943-7444-1986-1-42,,,0,,0
004-355-002-719-261,Reports and Communications,,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,3,151,152,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-3-151,,10.5771/0943-7444-1986-3-151,,,0,,0
006-438-974-360-771,"Judge, A.J.N. (Ed.): Encyclopedia of World Problems and Human Potential, 2nd ed. (M.P. Satija)",,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,2,104,106,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-2-104,,10.5771/0943-7444-1988-2-104,,,0,,0
007-362-870-505-647,Classification Literature 15 (1988) No. 3,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,3,175,180,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-3-175,,10.5771/0943-7444-1988-3-175,,,0,,0
008-179-217-044-797,"A. Gerstenkorn, M. Th. Rolland et al (Eds.): Thesaurus Guide. Analytical directory of selected vocabularies for information retrieval, 1985 (I. Dahlberg)",,1986,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,13,2,105,106,,,,,,,http://dx.doi.org/10.5771/0943-7444-1986-2-105-2,,10.5771/0943-7444-1986-2-105-2,,,0,,0
008-742-336-550-764,Titelei/Inhaltsverzeichnis,,1988,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,15,3,I,III,,,,,,,http://dx.doi.org/10.5771/0943-7444-1988-3-i,,10.5771/0943-7444-1988-3-i,,,0,,0
012-310-615-624-127,"Dhyani, P.: Classification schemes and Indian libraries. 2nd ed. (M.P. Satija)",,1989,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,16,2,112,113,,,,,,,http://dx.doi.org/10.5771/0943-7444-1989-2-112,,10.5771/0943-7444-1989-2-112,,,0,,0
