Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
000-193-567-264-407,Logical Division,,2016,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,Martin Frické,,43,7,539,549,,,,,,,http://dx.doi.org/10.5771/0943-7444-2016-7-539,,10.5771/0943-7444-2016-7-539,,,0,,0
000-564-531-748-231,Titelei/Inhaltsverzeichnis,,2018,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,45,5,I,II,,,,,,,http://dx.doi.org/10.5771/0943-7444-2018-5-i,,10.5771/0943-7444-2018-5-i,,,0,,0
000-877-480-859-069,Knowledge Organization (KO),,2016,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Birger Hjørland,,43,6,475,484,Knowledge organization; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-2016-6-475,http://dx.doi.org/10.5771/0943-7444-2016-6-475,,10.5771/0943-7444-2016-6-475,2802022330,,0,,7
001-052-627-130-740,Method for Selecting Specialized Terms from a General Language Corpus,,2015,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Gilberto Anguiano Peña; Catalina Naumis Peña,,42,3,164,175,Artificial intelligence; Natural language processing; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2015-3-164,http://dx.doi.org/10.5771/0943-7444-2015-3-164,,10.5771/0943-7444-2015-3-164,2805987085,,0,,0
001-182-930-937-251,Objects of human desire: The organization of pornographic videos on free websites,,2015,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Joan E. Beaudoin; Elaine Ménard,,42,2,90,101,Internet privacy; Computer science,,,,,https://researchconnect.wayne.edu/en/publications/objects-of-human-desire-the-organization-of-pornographic-videos-o http://dx.doi.org/10.5771/0943-7444-2015-2-90,http://dx.doi.org/10.5771/0943-7444-2015-2-90,,10.5771/0943-7444-2015-2-90,2592065529,,0,,0
001-495-977-186-720,"Intner, Sheila S. and Weihs, Jean. Standard Cataloging for School and Public Libraries, 5th ed. Santa Barbara, CA: ABC-CLIO/Libraries Unlimited, 2015. ix, 239p. ISBN: 978-1-61069-114-7(pbk). US$ 55",,2015,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,42,3,195,196,,,,,,,http://dx.doi.org/10.5771/0943-7444-2015-3-195,,10.5771/0943-7444-2015-3-195,,,0,,0
001-693-988-695-368,Construction and Evaluation of an Oil Spill Semantic Relation Taxonomy for Supporting Knowledge Discovery,,2015,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Yejun Wu; Li Yang,,42,4,222,231,Knowledge extraction; Data science; Oil spill; Semantic relation; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2015-4-222,http://dx.doi.org/10.5771/0943-7444-2015-4-222,,10.5771/0943-7444-2015-4-222,2805050109,,0,,3
001-703-550-538-882,Semantic Relations in Knowledge Organization Systems,,2014,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Marisa Bräscher,,41,2,175,180,Knowledge organization; Computer science; Knowledge management,,,,,http://dx.doi.org/10.5771/0943-7444-2014-2-175,http://dx.doi.org/10.5771/0943-7444-2014-2-175,,10.5771/0943-7444-2014-2-175,2810966341,,0,,0
002-532-701-218-492,Domain analysis for knowledge organization: Tools for ontology extraction,,2016,journal article,Knowledge Organization,09437444,,,Paula Carina de Araujo,,,,566,568,Domain analysis; Information retrieval; Ontology; Knowledge organization; Computer science,,,,,https://repositorio.unesp.br/handle/11449/159384,https://repositorio.unesp.br/handle/11449/159384,,,2948913956,,0,,0
002-697-729-721-52X,The web and the pyramid: Hope Olson's vision of connectedness in a world of hierarchies,,2016,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Barbara H. Kwasnik,,43,5,367,372,World Wide Web; Sociology; Social connectedness; Hierarchy; Pyramid,,,,,https://experts.syr.edu/en/publications/the-web-and-the-pyramid-hope-olsons-vision-of-connectedness-in-a-,http://dx.doi.org/10.5771/0943-7444-2016-5-367,,10.5771/0943-7444-2016-5-367,2584761820,,0,,0
