,Lens ID,Document Case,Abstract,Abstract_trim_2_string
0,000-251-444-646-256,Train Case,"The real challenge of today lies in exploring how computers will enable us to do what was not possible previously. The paper attempts to provoke thought about new frontiers of visual knowledge organization. Computers introduce the possibility of interchangeable media. They offer multiple nodes of access to a given term or object. They enable us to approach knowledge on different levels. A scheme of 10 levels is proposed and some consequences for visual knowledge at each of these levels is considered briefly. The final section of the paper considers four navigational tools: questions, maps, meters, and tracking",challeng lie explor comput enabl possibl previous attempt provok thought new frontier visual comput introduc possibl interchang media offer multipl node access given object enabl level scheme level propos consequ visual level consid briefli final section consid navig tool question map meter track
1,002-768-931-855-543,Train Case,"Some 25 years ago the Leiden art historian Van de Waal, inventor of ICONCLASS, developed an icon knowledge system called Beeldleer. After a brief review of this system the author does borrow some central ideas of Beeldleer to discuss a method of studying historically the elementary means of artistic expression with the use of hypertext concepts. The potential of a social construction of information in this field is being emphasized. Finally the design of a pilot study in an educational context will be discussed",25 year leiden art historian waal inventor iconclass icon system call beeldleer brief review system borrow central idea beeldleer discuss method histor elementari mean artist express use hypertext concept potenti social construct emphas final design pilot educ context discuss
2,013-996-415-887-147,Train Case,"Outlines in short the history of terminology in the former USSR from the thirties to the nineties and draws a picture of terminolobical research activities using statistics of terminology dissertations in chronological order (by five and ten year cumulations) with regard to their correspondence to scientific and technical disciplines/subject areas, languages and fields of terminology science itself with an analysis of the latter's findings. Concludingly seven proposals for the development of a theory of terminology are made stressing the need for the establishment of regional research centers and co-ordination of activities",outlin short histori terminolog former ussr thirti nineti draw pictur terminolob research activ use statist terminolog dissert chronolog order five year cumul regard correspond scientif technic disciplin area languag terminolog analysi latter find concludingli seven propos theori terminolog made stress establish region research center ordin activ
3,017-489-591-364-184,Train Case,"For classification to advance to the point where optimal systems may be developed for manual or automated use, it will be necessary for a science of documentor library classification to be developed. Seven questions are posed which the author feels must be answered before such optimal systems can be developed. Suggestions are made as to the forms that answers to these questions might take",advanc optim system manual autom use necessari documentor seven question pose feel must answer optim system suggest made form answer question might take
4,025-077-447-234-296,Test Case,"In 1989, the existence of an online union catalogue, the National Bibliographic Database-PORBASE, raised the urgent need for mechanisms of co-operation in the field of subject authority control. A national co-operative project called CLIP (Compatibilizacao de Linguagens de Indexacao em Portugues) was launched. With CLIP special libraries will assume responsibility for the final content of the authority file with respect to terminology for subject access in different subject areas. Reference is made to the general situation in Portuguese libraries with respect to the availability and application of subject indexing tools, and also to the work being carried out towards standardization and harmonization of procedures in such matters",1989 exist onlin union catalogu nation bibliograph databas porbas rais urgent mechan oper control nation oper project call clip compatibilizacao linguagen indexacao portugu launch clip special assum respons final content file respect terminolog access area refer made gener situat portugues respect avail applic tool carri toward standard harmon procedur matter
5,056-979-885-047-930,Train Case,"Efforts to build «virtual museums» have focussed predominantly on solving problems of rapidity changing interface technology. Insufficient effort has been spent on planning for the «virtual databases» on which these multimedia environments depend, particularly from the viewpoint of scholarly research. The Getty Art History Information Program has developed vocabularies that encourage consistency among scholarly documentation projects―regardless of their technical implementations―through terminology standards. Two vocabularies intended for control of terminology at the point of data capture are described, and scenarios are proposed for their further utility in navigating the complex databases that underlie the virtual museum",effort build virtual museum focuss predominantli solv problem rapid chang interfac technolog insuffici effort spent plan virtual databas multimedia environ depend particularli viewpoint scholarli research getti art histori program vocabulari encourag consist among scholarli document project regardless technic implement terminolog standard vocabulari intend control terminolog data captur describ scenario propos util navig complex databas underli virtual museum
6,065-723-239-027-836,Train Case,"Attempt to order the main parameters of scientific theory into a coherent taxonomy. To that end, a System Unification Model (SUM) is constructed which serves as a formal frame classifying the salient structures and functions of empirical existence. The terse presentation should give a synopsis of the scope and method of knowledge organization applicable in a global scale.; ; The methodology used is based on a Triadic Interface Paradigm which combines dialectic and syllogic algorithms to arrive at synthetic conclusions of general applications. This holistic perspective situates the static and dynamic contents of matter, energy and information systems in their space-time context. Finally, these dimensions are manipulated by formal operational codes to produce systemic and systematic knowledge.; ; The Model has been used to demonstrate a new Theory of Sociophysics which integrates the basic principles of social and natural sciences into an all-inclusive conceptual framework. Sociophysics assumes the fundamental isomorphism of nature and culture, thereby projecting heuristic metaphors between them. As a result, it contributes in enhancing, understanding and appreciating the global picture of human reality.",attempt order main paramet scientif theori coher taxonomi system unif model sum construct serv formal frame classifi salient structur function empir exist ters give synopsi scope method applic global scale methodolog use triadic interfac paradigm combin dialect syllog algorithm arriv synthet conclus gener applic holist perspect situat static dynam content matter energi system space time context final dimens manipul formal oper code produc system systemat model use demonstr new theori sociophys integr basic principl social natur inclus conceptu framework sociophys assum fundament isomorph natur cultur therebi project heurist metaphor result contribut enhanc understand appreci global pictur human realiti
7,065-776-954-434-253,Train Case,"The special classification system ICONCLASS, created by Henry van de Waal for the description of occidental art, is considered against the background of art-historical iconography. By means of a number of examples the structure and use of ICONCLASS and its importance for art-historical documentation are illustrated",special system iconclass creat henri waal descript occident art consid background art histor iconographi mean number exampl structur use iconclass import art histor document illustr
8,072-262-854-270-373,Train Case,"Changing technological paradigms require a new approach to the definition of standards in the area of art information. Technological boundaries between systems are lessening, making new realms of integrated information a possibility. Previously separate databases, image bases, computer aided design systems, and geographical information systems are now being linked into multi-media, interdisciplinary information systems. The potential exists to unite other physically separate information resources into a «virtual database», through a common interface which exploits emerging communications networks. Such integration will only be possible if all systems are built on a shared intellectual framework; unless the information which is gathered today shares a common conceptual structure, integration in the future will not be possible",chang technolog paradigm requir new definit standard area art technolog boundari system lessen make new realm integr possibl previous separ databas imag comput aid design system geograph system link multi media interdisciplinari system potenti exist unit physic separ resourc virtual databas common interfac exploit emerg commun network integr possibl system built share intellectu framework unless gather share common conceptu structur integr futur possibl
9,116-509-832-503-46X,Test Case,"The paper addresses the ways in which computerization and a thesaurus like the Art and Architecture Thesaurus (AAT) influence the organization, description, and understanding of the visual arts. It discusses these issues from the point of view of the AAT and considers how its structure and content serve as a bridging mechanism between the many different manifestations of the visual arts and the different types of organizations serving the viewers of art, whether as students, scholars, collections managers, or the enjoying public. This paper shows how a knowledge base like the AAT helps this variety of users develop approaches to the visual arts and suggests that the special nature of dealing with image rather than text influences how the thesaurus is structured and applied",address computer thesauru like art architectur thesauru influenc descript understand visual art discuss issu view consid structur content serv bridg mechan mani manifest visual art type serv viewer art whether student scholar collect manag enjoy public show like help varieti visual art suggest special natur deal imag rather text influenc thesauru structur appli
