Lens ID,097-421-372-053-520,116-509-832-503-46X,043-454-317-567-459,036-149-448-029-082,062-055-064-561-85X,061-018-838-320-648,179-132-294-510-213,078-881-949-441-033,116-085-787-369-516,046-376-269-492-795,066-382-980-653-77X,027-396-266-532-738,025-320-084-599-970,118-102-398-817-762,131-292-364-160-556,060-372-899-346-10X,059-611-580-408-33X,007-409-477-173-741,045-388-908-940-286,063-359-887-330-154,Lens ID
000-189-988-224-76X,0.0,0.0,0.0,0.0280371194920247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376290881672936,0.0,0.0,0.0,0.0,000-189-988-224-76X
000-251-444-646-256,0.0,0.0,0.0,0.0095200078269766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531073104072699,0.0,0.0,0.0,0.0,000-251-444-646-256
002-733-369-145-420,0.0,0.0,0.0,0.0547089772453009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344969147135827,0.0,0.0,0.0,0.0,002-733-369-145-420
006-260-890-457-159,0.0,0.0,0.0,0.0570992551396302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093447050086066,0.0,0.0,0.0,0.0,006-260-890-457-159
023-752-023-695-957,0.0,0.0,0.0,0.026840965145063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203320937107092,0.0,0.0,0.0,0.0,023-752-023-695-957
033-140-945-207-53X,0.0,0.0,0.0,0.0200967564645542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534897237478877,0.0,0.0,0.0,0.0,033-140-945-207-53X
039-088-632-836-477,0.0,0.0,0.0,0.027342521782791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051749968257993,0.0,0.0,0.0,0.0,039-088-632-836-477
046-402-144-705-650,0.0,0.0,0.0,0.0240908161330127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05843736756125,0.0,0.0,0.0,0.0,046-402-144-705-650
050-238-052-849-254,0.0,0.0,0.0,0.0156643756541384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474013548392837,0.0,0.0,0.0,0.0,050-238-052-849-254
054-305-338-343-34X,0.0,0.0,0.0,0.0141215036803424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028470532837415,0.0,0.0,0.0,0.0,054-305-338-343-34X
054-597-134-280-815,0.0,0.0,0.0,0.0120611751442155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833894318203828,0.0,0.0,0.0,0.0,054-597-134-280-815
066-611-818-335-788,0.0,0.0,0.0,0.0185327305356884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536026432389152,0.0,0.0,0.0,0.0,066-611-818-335-788
072-262-854-270-373,0.0,0.0,0.0,0.0298144783353981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078747285132988,0.0,0.0,0.0,0.0,072-262-854-270-373
078-451-133-512-02X,0.0,0.0,0.0,0.0201631224179362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061542782927333,0.0,0.0,0.0,0.0,078-451-133-512-02X
096-969-589-679-820,0.0,0.0,0.0,0.0388759862071512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263400918616688,0.0,0.0,0.0,0.0,096-969-589-679-820
103-683-153-528-499,0.0,0.0,0.0,0.0138440019486906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960937302672,0.0,0.0,0.0,0.0,103-683-153-528-499
106-258-436-803-499,0.0,0.0,0.0,0.0054885261921377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016449133678002,0.0,0.0,0.0,0.0,106-258-436-803-499
129-335-229-947-343,0.0,0.0,0.0,0.00514263469225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584140188339099,0.0,0.0,0.0,0.0,129-335-229-947-343
132-396-141-682-245,0.0,0.0,0.0,0.0182666791494249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0589164559902615,0.0,0.0,0.0,0.0,132-396-141-682-245
170-177-625-955-412,0.0,0.0,0.0,0.0246378417802988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236880870917876,0.0,0.0,0.0,0.0,170-177-625-955-412
182-158-356-687-801,0.0,0.0,0.0,0.0159596232544002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186146472049046,0.0,0.0,0.0,0.0,182-158-356-687-801
