,Lens ID,025-320-084-599-970,060-372-899-346-10X,116-509-832-503-46X,046-376-269-492-795,059-611-580-408-33X,062-055-064-561-85X,066-382-980-653-77X,097-421-372-053-520,179-132-294-510-213,061-018-838-320-648,007-409-477-173-741,045-388-908-940-286,027-396-266-532-738,043-454-317-567-459,078-881-949-441-033,063-359-887-330-154,116-085-787-369-516,036-149-448-029-082,131-292-364-160-556,118-102-398-817-762
0,000-189-988-224-76X,0.018539063022146644,0.02032282439800867,0.03660702974779389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,000-251-444-646-256,0.0,0.046315720720786456,0.01743494759668113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,001-759-543-067-376,0.008375829080423901,0.03420276237092163,0.004989890905461015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,005-477-590-821-001,0.055652426951869005,0.034800693192822724,0.03859356118302892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,006-948-163-366-774,0.05929104254738041,0.02784344545514646,0.07120419715851543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,016-199-714-006-263,0.04460538632163473,0.00494444989108172,0.04024894527479489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,018-426-685-841-728,0.048322821591148105,0.05165309095551318,0.06977461860327777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,023-752-023-695-957,0.03544834732338877,0.013102712975772042,0.039673117466122246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,033-950-497-342-66X,0.033313261355221876,0.018009815169535343,0.0192517985405227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,038-455-032-007-224,0.026728499623259978,0.0,0.011949378266129603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,039-088-632-836-477,0.060081312204425655,0.005199405535129899,0.03600008656300753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,046-846-411-960-590,0.011214369505997822,0.021563838564697825,0.019347822334642623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,050-238-052-849-254,0.07492157378640853,0.04394477024599551,0.07332773398349243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,054-597-134-280-815,0.03747717887975369,0.04846331157331592,0.025086504988887946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,067-195-084-305-016,0.0719433284866253,0.05781067724366731,0.04962499229153751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,067-245-023-581-167,0.023792941517471425,0.034117603450661435,0.07225054412306064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,085-964-441-290-42X,0.05659314953060966,0.006105113709676261,0.04607561566334506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,096-969-589-679-820,0.09945718360976999,0.027020069315882994,0.03423733237800494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,100-811-848-186-952,0.04735189058190778,0.014357764012083017,0.021474597355846455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,103-683-153-528-499,0.023882470204272505,0.0334194120545149,0.05471458956443745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,115-098-299-620-069,0.013421938622315707,0.0927581789538912,0.04469716357684607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,119-828-100-009-826,0.03258008913180302,0.037427148481760715,0.030501416721308405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,171-003-626-863-17X,0.02986111818425905,0.03974968092377425,0.07226157746072182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,182-499-359-463-219,0.05013461207289781,0.08437033273617692,0.09230164597301838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,187-701-961-076-877,0.08401041396657963,0.04284598472219512,0.07149426319406468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,002-768-931-855-543,0.0,0.0,0.0,0.008697018188769515,0.011624526772816182,0.005089968638426593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,017-489-591-364-184,0.0,0.0,0.0,0.039842533187507134,0.028530449412755798,0.02235896803593455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,019-178-979-244-511,0.0,0.0,0.0,0.06122798332301026,0.0736697055326634,0.04160717960239298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,025-832-836-773-820,0.0,0.0,0.0,0.04911278311097104,0.05148336180213785,0.03891228678280881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,032-388-474-318-614,0.0,0.0,0.0,0.026814720272349404,0.04120586042251957,0.05379257377959292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,034-374-636-579-338,0.0,0.0,0.0,0.05707880781251681,0.054857504554631266,0.09045284612245233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,034-937-628-469-063,0.0,0.0,0.0,0.049853838585212876,0.04577461621176253,0.0647503141675504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,037-935-884-055-847,0.0,0.0,0.0,0.049413650001133874,0.06106785388751621,0.07547161761094297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,039-890-704-429-132,0.0,0.0,0.0,0.04669023287719051,0.057249408496790506,0.018276722393259084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,044-198-652-180-16X,0.0,0.0,0.0,0.09500020495897496,0.016443207794105134,0.030391084227146294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,048-107-503-236-974,0.0,0.0,0.0,0.03541501881070789,0.030433235933819497,0.04820853162194283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,048-127-750-639-998,0.0,0.0,0.0,0.07408446707251642,0.052617143719889535,0.0800165747641322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,048-970-965-076-466,0.0,0.0,0.0,0.01651756901662341,0.07102214344671857,0.06872752742464956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,054-076-780-075-898,0.0,0.0,0.0,0.034153458168733636,0.029454666076799505,0.05416664895490471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,056-950-902-277-094,0.0,0.0,0.0,0.06969954686388491,0.0808205778567444,0.06900086108992085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,057-230-358-061-61X,0.0,0.0,0.0,0.032679099050657356,0.06390693525325357,0.09776996671106405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,057-466-204-899-197,0.0,0.0,0.0,0.059313875447052154,0.03772419210174567,0.046410320522748225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,061-894-521-034-918,0.0,0.0,0.0,0.035284772120078314,0.017422017014419325,0.02064458570067906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,062-724-086-574-032,0.0,0.0,0.0,0.006579369289042178,0.01767840198879256,0.024777925480452438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,064-607-448-852-803,0.0,0.0,0.0,0.03411500420204972,0.035161480734750665,0.058499900839016086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,068-347-597-479-448,0.0,0.0,0.0,0.02615539824454063,0.01226270483132592,0.0010712578105027278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
