,Lens ID,045-388-908-940-286,131-292-364-160-556,116-085-787-369-516,179-132-294-510-213,027-396-266-532-738,060-372-899-346-10X,061-018-838-320-648,007-409-477-173-741,097-421-372-053-520,043-454-317-567-459,046-376-269-492-795,078-881-949-441-033,062-055-064-561-85X,025-320-084-599-970,059-611-580-408-33X,116-509-832-503-46X,063-359-887-330-154,066-382-980-653-77X,036-149-448-029-082,118-102-398-817-762
0,000-251-444-646-256,0.01193479209379024,0.06177577193829314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,002-908-019-710-006,0.043632629568890864,0.04023017863400785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,008-962-886-761-456,0.016372346674995108,0.09270160702335892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,013-302-417-490-03X,0.0,0.024925885194090436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,014-665-421-131-071,0.03516136754901431,0.035075073624925956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,016-199-714-006-263,0.0,0.06418243656885154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,017-784-773-403-422,0.0,0.016469588148287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,019-513-098-708-289,0.03436221607591202,0.07182540688777753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,033-100-558-536-10X,0.05459239819689682,0.04759304091585309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,033-140-945-207-53X,0.047196035053484214,0.03213637657113537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,034-374-636-579-338,0.050108444110143154,0.09448778361238105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,038-737-526-962-518,0.04516939770145974,0.06350075203722984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,042-553-754-884-249,0.054060757390619316,0.07392029305813923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,057-197-413-657-247,0.018184569338105225,0.032927074266881365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,057-466-204-899-197,0.03375941308486526,0.07843717647755416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,062-086-201-884-316,0.04736715224556656,0.03436602198681312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,066-611-818-335-788,0.04193327529910822,0.06889800344431649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,067-195-084-305-016,0.046823307773450756,0.05188887117827791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
