,Lens ID,043-454-317-567-459,078-881-949-441-033,116-509-832-503-46X,036-149-448-029-082,060-372-899-346-10X,066-382-980-653-77X,118-102-398-817-762,025-320-084-599-970,046-376-269-492-795,059-611-580-408-33X,131-292-364-160-556,007-409-477-173-741,027-396-266-532-738,045-388-908-940-286,061-018-838-320-648,062-055-064-561-85X,063-359-887-330-154,097-421-372-053-520,116-085-787-369-516,179-132-294-510-213
0,000-251-444-646-256,0.032806782335132706,0.0,0.027018406266484336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,001-542-585-753-06X,0.015830164013487146,0.046007906647018114,0.07650393808672099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,006-920-773-223-354,0.02123321831036597,0.017459451604541574,0.04521698281109334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,013-353-791-759-027,0.03239820740294048,0.0010200806099458662,0.019999505302646898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,014-498-810-516-367,0.0027426020782726945,0.009596357321061344,0.00397996743242129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,019-135-892-010-245,0.03991631690973908,0.0011172959938257258,0.010255169707342391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,023-752-023-695-957,0.02404637656917147,0.03769554489877496,0.07050683643010934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,025-107-741-251-630,0.03524565736072452,0.0,0.036317861797140735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,033-950-497-342-66X,0.026773361425261172,0.03046720530839399,0.02350710176482936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,034-374-636-579-338,0.01577639126904069,0.007295412291953506,0.03755232104520164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,039-088-632-836-477,0.0038540202848108772,0.0,0.060005412005861535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,042-401-029-005-536,0.006178653437619618,0.005819286676849133,0.0024588661064137173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,044-023-593-835-730,0.002300301256963399,0.017731178494838448,0.007921160191034537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,046-947-454-102-783,0.04991802277511557,0.0014314928869488676,0.06906781747458735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,050-238-052-849-254,0.006673124028302575,0.008387786284075658,0.08518528096328286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,054-305-338-343-34X,0.002470532292068025,0.019043353089215606,0.06412494017319156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,056-950-902-277-094,0.0055815649566589975,0.027492211714450855,0.03197901995302193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,066-162-924-625-788,0.015827229057619175,0.007057549776451236,0.0141588806030081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,066-611-818-335-788,0.02537609241503484,0.021915670379962303,0.051826349878530506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
