,Lens ID,036-149-448-029-082,043-454-317-567-459,131-292-364-160-556,060-372-899-346-10X,063-359-887-330-154,066-382-980-653-77X,116-085-787-369-516,027-396-266-532-738,046-376-269-492-795,097-421-372-053-520,116-509-832-503-46X,179-132-294-510-213,007-409-477-173-741,045-388-908-940-286,059-611-580-408-33X,061-018-838-320-648,025-320-084-599-970,062-055-064-561-85X,078-881-949-441-033,118-102-398-817-762
0,000-251-444-646-256,0.0109071065358009,0.02581656581450857,0.05183643282949886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,005-477-590-821-001,0.029338377758724297,0.02114346376015407,0.04064976880270476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,008-962-886-761-456,0.004241455354049017,0.01899868434526034,0.0778106171385255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,013-302-417-490-03X,0.004872087032008933,0.012226554007212013,0.03472498777317529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,018-426-685-841-728,0.008159428402859811,0.0,0.06389762811206155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,023-752-023-695-957,0.03596017985999417,0.020361150454236775,0.036121214226954385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,031-650-207-787-672,0.05757211502953352,0.05472467090781683,0.04718229933656008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,032-050-236-233-836,0.03278371663061659,0.0,0.0499177510996035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,046-947-454-102-783,0.0009585311635465094,0.03720364668208334,0.012222573699646463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,056-414-859-740-557,0.02266392412035189,0.01920843095380177,0.03838170814780611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,057-453-531-906-267,0.0,0.0,0.01687867000246532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,062-376-529-028-631,0.006056025020890234,0.019956659018485538,0.058111220322827575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,064-751-648-054-001,0.0327414681374656,0.0,0.052447178753879074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,067-195-084-305-016,0.010684185886114844,0.005262228304251124,0.047957313995649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,068-575-306-450-958,0.008936379334547256,0.019710578625982522,0.058260679177779946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
