,Lens ID,027-396-266-532-738,043-454-317-567-459,078-881-949-441-033,045-388-908-940-286,061-018-838-320-648,116-085-787-369-516,116-509-832-503-46X,131-292-364-160-556,025-320-084-599-970,046-376-269-492-795,060-372-899-346-10X,062-055-064-561-85X,063-359-887-330-154,066-382-980-653-77X,097-421-372-053-520,179-132-294-510-213,007-409-477-173-741,036-149-448-029-082,059-611-580-408-33X,118-102-398-817-762
0,000-189-988-224-76X,0.031213780436694153,0.005079528375338565,0.04463684446174407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,000-251-444-646-256,0.048803940006522877,0.036331737723142354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,014-665-421-131-071,0.04124379054165403,0.008641980848228911,0.053496350180371424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,017-489-591-364-184,0.03297102625676433,0.0,0.002299920762321925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,023-752-023-695-957,0.05118428660487359,0.025560759405779822,0.038709055633914864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,028-990-627-361-144,0.03729989231466218,0.0,0.04118222839460853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,032-388-474-318-614,0.05643833689575671,0.029980642181459693,0.017125353979375812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,033-100-558-536-10X,0.06573765037464313,0.005629179757414057,0.0021934875816403006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,033-140-945-207-53X,0.06347636757921324,0.0037065179971016307,0.03632190734149249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,033-555-573-298-315,0.022619016677977145,0.013982256825037209,0.012257754406054902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,034-937-628-469-063,0.030782592530199285,0.005348201038787148,0.013662524552948418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,039-088-632-836-477,0.03594839644063509,0.0042686849971945336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,039-890-704-429-132,0.04922211425578643,0.01418300935533266,0.01784683806259628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,046-402-144-705-650,0.04937522016029655,0.019464683260103564,0.0014102109832389036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,048-127-750-639-998,0.07213529093650853,0.030576997875296587,0.016610367113749167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,051-858-967-360-549,0.01697701384466295,0.004514578270616163,0.0017591677295252701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,052-670-916-661-239,0.06320972701966576,0.0386715052282113,0.020432229684102587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,057-453-531-906-267,0.06038191868219017,0.0,0.022379840047653386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,064-607-448-852-803,0.033139680350492036,0.0,0.03832884044067278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,065-776-954-434-253,0.024321788342158503,0.0058880550445445405,0.06648258112371408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,070-541-958-070-965,0.07873501725145601,0.011709292119847078,0.028347989453261883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,072-364-355-191-82X,0.05329123720500625,0.014900022916034749,0.031870881684358005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,076-882-748-116-316,0.028797481974082155,0.012654196881661464,0.019113391539562243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,078-887-084-126-065,0.0115022475985046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,089-926-127-972-615,0.03163528084096641,0.016658569467091856,0.028907158498579305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,102-669-910-571-199,0.0403420952987017,0.06692377098847221,0.008335558456634072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,103-364-820-610-122,0.06639544258446983,0.03104528170059592,0.037338020319554605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,103-683-153-528-499,0.0669064398530712,0.018520549306562883,0.019373950050702027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,104-511-034-288-619,0.01656659595944304,0.023784069221192215,0.010579534209250256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,108-951-652-767-38X,0.030870261401038063,0.01351578729725069,0.03015944218267688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,119-828-100-009-826,0.025770389662445763,0.02373005444383281,0.0516654002731559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,120-465-396-538-465,0.016635761221642315,0.026662030188464976,0.04156210829195574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120-820-618-313-83X,0.020507053230494933,0.016039672161901622,0.027924106899925288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,127-655-016-585-334,0.025765713891048633,0.01910044592315663,0.06622941438637761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,131-111-699-854-730,0.050456888876365985,0.015065969526992119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,136-929-137-424-66X,0.02928920636247375,0.016426625743398062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,158-139-147-446-223,0.015578360127643964,0.01567926555189926,0.00819715045122743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,171-003-626-863-17X,0.06072495400858266,0.030125650245196887,0.022481668846544445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,173-631-094-662-915,0.020617364939757694,0.029274972344040313,0.032872523843410384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,173-877-453-721-519,0.06637600554937226,0.02552765369751888,0.006413446333005153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,176-358-336-937-825,0.028254147331460533,0.01484367032526369,0.011640758667415456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,182-158-356-687-801,0.0360192858421176,0.032148205819691515,0.03552371043653456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,193-381-516-111-686,0.04205556562033586,0.01229930229846717,0.006049854249695414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,001-254-322-670-872,0.0,0.0,0.0,0.04021658992346286,0.04773270377934641,0.006749710804895975,0.035050646412988606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,001-542-585-753-06X,0.0,0.0,0.0,0.03496934202686195,0.029919159112098522,0.04519989349523515,0.06406842024081041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,002-768-931-855-543,0.0,0.0,0.0,0.007935046720545605,0.0009744136538405651,0.017157199047382967,0.02368671033858287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,002-908-019-710-006,0.0,0.0,0.0,0.03465149435838428,0.03845612577308698,0.022533828235689394,0.016055129168759678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,013-595-252-334-822,0.0,0.0,0.0,0.016823417058543146,0.07630644540965459,0.013869725015837147,0.01715511778594136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,013-764-041-525-607,0.0,0.0,0.0,0.06840028782322415,0.02118206140352383,0.04458740719701158,0.06360285087838775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,024-276-265-590-973,0.0,0.0,0.0,0.020588495346789686,0.02464890239386256,0.07897080471685625,0.10129024829187766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,032-707-667-937-548,0.0,0.0,0.0,0.10141109824701253,0.03242262278330524,0.025568099252405732,0.00574065129570052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,036-074-742-305-080,0.0,0.0,0.0,0.032989588059152725,0.021454100423332137,0.038516261111035094,0.09230971704177547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,044-198-652-180-16X,0.0,0.0,0.0,0.027858955935758784,0.017446131991783836,0.03169626544687404,0.012342255700371674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,048-970-965-076-466,0.0,0.0,0.0,0.04931314474913235,0.03430855775763783,0.030486439449238026,0.055923854197802284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,050-962-085-082-050,0.0,0.0,0.0,0.012280246527444277,0.03608425676451582,0.011272900016204913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,053-719-795-895-127,0.0,0.0,0.0,0.03156121271176033,0.055782492561288505,0.04426418649898694,0.041255022027518205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
