,Lens ID,043-454-317-567-459,060-372-899-346-10X,027-396-266-532-738,061-018-838-320-648,036-149-448-029-082,046-376-269-492-795,066-382-980-653-77X,078-881-949-441-033,097-421-372-053-520,116-509-832-503-46X,179-132-294-510-213,059-611-580-408-33X,063-359-887-330-154,131-292-364-160-556,007-409-477-173-741,045-388-908-940-286,062-055-064-561-85X,116-085-787-369-516,025-320-084-599-970,118-102-398-817-762
0,000-251-444-646-256,0.04412688229490161,0.07881631187689603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,001-281-947-751-975,0.018887805707571124,0.01972401078774902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,001-542-585-753-06X,0.01607059658122207,0.01356065049296945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,002-227-810-181-405,0.007092120631650399,0.014842092703283478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,019-513-098-708-289,0.014754559302506721,0.06812229055016092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,031-740-156-435-499,0.0465299859319627,0.01909987059565777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,034-374-636-579-338,0.011529719201826376,0.04284494613455967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,038-170-805-379-451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,038-737-526-962-518,0.02101022565878241,0.021534218630017934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,040-208-896-050-485,0.018199367155984768,0.03499071838300952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,042-401-029-005-536,0.01272470307038281,0.011158450371424149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,042-553-754-884-249,0.016725510326308212,0.02437134999548558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
