,Lens ID,007-409-477-173-741,045-388-908-940-286,025-320-084-599-970,116-085-787-369-516,116-509-832-503-46X,131-292-364-160-556,179-132-294-510-213,043-454-317-567-459,062-055-064-561-85X,046-376-269-492-795,060-372-899-346-10X,097-421-372-053-520,027-396-266-532-738,061-018-838-320-648,063-359-887-330-154,066-382-980-653-77X,078-881-949-441-033,036-149-448-029-082,059-611-580-408-33X,118-102-398-817-762
0,000-251-444-646-256,0.03860107915446858,0.007774429523254485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,002-908-019-710-006,0.05241581984852061,0.03025736590947843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,005-477-590-821-001,0.0572142971742364,0.07297303866998331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,006-920-773-223-354,0.05813456934234197,0.06567575313525079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,023-752-023-695-957,0.010204858542687194,0.006084352036534656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,033-140-945-207-53X,0.0575020373737889,0.0255289885205925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,038-737-526-962-518,0.04486171990781415,0.035876837919330884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,062-376-529-028-631,0.03635827272704313,0.012900067958522037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,067-245-023-581-167,0.05490663949928774,0.03094096797449803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,068-575-306-450-958,0.027417228004351746,0.019036704586798035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,071-000-824-702-757,0.025919602690852778,0.029665792141381334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,080-752-452-284-07X,0.008114186150180351,0.008385456576829011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,093-946-427-403-951,0.009312300779338725,0.013900961955242794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,096-969-589-679-820,0.010545084638116351,0.02078843853154513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,100-811-848-186-952,0.014222867870233476,0.002154510255393967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,103-683-153-528-499,0.04894858194135228,0.05881317097032311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,104-095-760-090-607,0.031250998378776686,0.019435118461735738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,104-465-453-188-095,0.023365650627069065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,109-760-057-069-354,0.04439171583772488,0.034593692451425136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,117-110-543-208-845,0.05203097215593493,0.036095325389756204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,134-995-876-286-996,0.04972070316762563,0.02415066379978749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,146-362-763-625-758,0.016020867803415162,0.03346869252820253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,164-643-190-599-559,0.03817864468774779,0.030838694206891216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,180-963-788-596-582,0.04710442950248983,0.020527299711301013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,191-349-254-093-883,0.030774085409242903,0.01776111864091258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,001-542-585-753-06X,0.0,0.0,0.017975697884729698,0.05931540641290079,0.05763643000994462,0.01390748586311118,0.0449970513736352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,002-768-931-855-543,0.0,0.0,0.023784079958445125,0.02610613167698607,0.030154579910522443,0.005772841513907323,0.05282731241238653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,003-149-126-851-754,0.0,0.0,0.05770431841582179,0.03996430817899542,0.03701877835229448,0.02364112972384581,0.031925010036713074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,006-260-890-457-159,0.0,0.0,0.07794623668902942,0.0,0.053550148254230795,0.016900450526984308,0.009813757219424612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,008-962-886-761-456,0.0,0.0,0.04131748556287414,0.05377003259860529,0.03541360648704948,0.09529654622253511,0.019186480134803178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,013-353-791-759-027,0.0,0.0,0.033233686996751444,0.062257949053125206,0.011683519298774411,0.02700780843835663,0.036748043653366376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,013-636-309-273-433,0.0,0.0,0.011711056864233294,0.018062941181857393,0.07828579621881465,0.02513888004709112,0.015673780426874763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,014-665-421-131-071,0.0,0.0,0.03378379928887659,0.02906104909373455,0.04472644923376323,0.029164940100959658,0.018987493332867693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,024-276-265-590-973,0.0,0.0,0.027247243228667496,0.0688725261158453,0.10759490356800926,0.0539236498647269,0.053949252587956395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,030-929-233-804-44X,0.0,0.0,0.08249404631720744,0.026651007354419373,0.055995899658862036,0.03539993934328224,0.08528752482039609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,032-050-236-233-836,0.0,0.0,0.019080980119953253,0.009795485424745912,0.03388380187451874,0.05492820625330648,0.012140623682256432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,033-555-573-298-315,0.0,0.0,0.03476710113560852,0.009278700896119462,0.03041308432214535,0.001265528996697954,0.02963294246059667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,040-208-896-050-485,0.0,0.0,0.024016353207006343,0.0038437278740927963,0.004145667499930004,0.01767864237540742,0.0447325868600744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,044-198-652-180-16X,0.0,0.0,0.0284060842412212,0.05105410098904397,0.012464817150379167,0.02557471030157429,0.016627307293064858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,053-719-795-895-127,0.0,0.0,0.08108298614137432,0.04787975891955078,0.07055373049343719,0.07229378832371515,0.024768918705608857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,065-723-239-027-836,0.0,0.0,0.02424259187568676,0.0481443887136119,0.061653314622364036,0.06699829716278376,0.07004451958080987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,066-611-818-335-788,0.0,0.0,0.03824490541129133,0.022769866050142695,0.051957908651568116,0.06643886281191273,0.0448791929157606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,071-825-816-424-896,0.0,0.0,0.030637735164621045,0.032130508543561274,0.03322239007575291,0.038734225612866734,0.05672252897911202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,073-054-463-858-866,0.0,0.0,0.04644077149630854,0.02501311360110053,0.02778699100442763,0.03407522977319068,0.05821918122439514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,076-823-648-953-459,0.0,0.0,0.03246979181928193,0.07214667896211589,0.009289668952874022,0.05739485737517046,0.040602525532849286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,077-241-208-573-205,0.0,0.0,0.042653123755254,0.028865337379329777,0.0,0.05837200584875222,0.013645790852181712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,078-012-100-970-29X,0.0,0.0,0.06638176207080623,0.012985032502630271,0.010821711807601856,0.032151667451940515,0.017416547417685564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,078-451-133-512-02X,0.0,0.0,0.016619701390389808,0.010450563880783241,0.04758435102822499,0.016798752876202454,0.028991447802339143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,082-495-474-227-605,0.0,0.0,0.03398271362301333,0.019537516725566393,0.04355495834434406,0.03101970610481821,0.02360084281299881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,084-598-061-461-73X,0.0,0.0,0.06987559549489045,0.022870153725601045,0.015334315458445592,0.08222778713845236,0.026488469772831185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,089-926-127-972-615,0.0,0.0,0.06269019543794252,0.0403652028733418,0.02368755083956967,0.060738312437525345,0.05261060920239906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,101-931-016-895-249,0.0,0.0,0.04001569415806571,0.027541842059997323,0.00768285248680982,0.023709666024081734,0.028783344073499542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,103-743-287-428-874,0.0,0.0,0.02647209044669305,0.02070032359461372,0.019755303116303993,0.0286350407787212,0.031044710424577054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,108-795-741-054-873,0.0,0.0,0.03791233638227069,0.016403422037109417,0.0036844565662734617,0.033016107804427874,0.006865383089685972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,108-951-652-767-38X,0.0,0.0,0.08114753406601571,0.04229613269907841,0.03479206938179717,0.03439126238586119,0.04149001433033062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,109-321-719-727-13X,0.0,0.0,0.03280049292809185,0.027160910657053193,0.012198359551099575,0.041868864140716555,0.030372046203568724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,111-417-084-591-248,0.0,0.0,0.02573906318708883,0.04006224495845907,0.03730910915633189,0.06986485647868125,0.03941520587290264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,132-396-141-682-245,0.0,0.0,0.04863818234454291,0.03153995149465194,0.04310218174576564,0.030516946000100485,0.0831886642640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,132-693-568-339-041,0.0,0.0,0.03332045448885089,0.030863429789739036,0.02417846101376178,0.03662381109996221,0.021295288292710216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,135-471-224-323-287,0.0,0.0,0.03874252169100473,0.0,0.012158893007938177,0.023969470486213937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,139-017-681-927-137,0.0,0.0,0.044600151312324296,0.036308975432649486,0.03574486811585567,0.08077104916608291,0.02272027315076796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,139-415-373-727-671,0.0,0.0,0.029074760208576814,0.04262625992638579,0.025380556830403925,0.08186166581067374,0.05656639158236225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,145-162-485-543-214,0.0,0.0,0.05218509579682146,0.04385929148484016,0.006750482573392391,0.02192651359117139,0.02675013264812586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,149-853-331-952-574,0.0,0.0,0.005878214003864486,0.024674424475009213,0.008657089802136208,0.07118837551541343,0.04669062010701563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
