Lens ID,097-421-372-053-520,116-509-832-503-46X,043-454-317-567-459,036-149-448-029-082,062-055-064-561-85X,061-018-838-320-648,179-132-294-510-213,078-881-949-441-033,116-085-787-369-516,046-376-269-492-795,066-382-980-653-77X,027-396-266-532-738,025-320-084-599-970,118-102-398-817-762,131-292-364-160-556,060-372-899-346-10X,059-611-580-408-33X,007-409-477-173-741,045-388-908-940-286,063-359-887-330-154
064-751-648-054-001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024-276-265-590-973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
056-843-928-028-56X,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
033-100-558-536-10X,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
064-751-648-054-001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-935-111-075-54X,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
051-858-967-360-549,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
099-651-790-941-367,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
024-276-265-590-973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100-935-111-075-54X,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
068-842-015-943-027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116-584-634-731-701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
097-759-558-650-313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104-626-130-571-406,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173-631-094-662-915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
167-707-200-597-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
085-964-441-290-42X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
033-100-558-536-10X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
064-607-448-852-803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
057-453-531-906-267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
