,Lens ID_Train,Word,Count
0,078-470-148-980-604,system,3
0,078-470-148-980-604,disciplin,2
0,078-470-148-980-604,import,2
0,078-470-148-980-604,space,2
0,078-470-148-980-604,time,2
0,078-470-148-980-604,insight,1
0,078-470-148-980-604,depth,1
0,078-470-148-980-604,breadth,1
0,078-470-148-980-604,across,1
0,078-470-148-980-604,vital,1
0,078-470-148-980-604,map,1
0,078-470-148-980-604,visual,1
0,078-470-148-980-604,empir,1
0,078-470-148-980-604,evid,1
0,078-470-148-980-604,collect,1
0,078-470-148-980-604,characterist,1
0,078-470-148-980-604,cluster,1
0,078-470-148-980-604,report,1
0,078-470-148-980-604,collabor,1
0,078-470-148-980-604,effort,1
0,078-470-148-980-604,sever,1
0,078-470-148-980-604,year,1
0,078-470-148-980-604,combin,1
0,078-470-148-980-604,resourc,1
0,078-470-148-980-604,lab,1
0,078-470-148-980-604,research,1
0,078-470-148-980-604,innov,1
0,078-470-148-980-604,group,1
0,078-470-148-980-604,particular,1
0,078-470-148-980-604,interest,1
0,078-470-148-980-604,narr,1
0,078-470-148-980-604,chang,1
0,078-470-148-980-604,evolv,1
0,078-470-148-980-604,complex,1
0,078-470-148-980-604,analysi,1
0,078-470-148-980-604,concern,1
0,078-470-148-980-604,inner,1
0,078-470-148-980-604,structur,1
0,078-470-148-980-604,evolut,1
0,078-470-148-980-604,implement,1
0,078-470-148-980-604,better,1
0,078-470-148-980-604,understand,1
0,078-470-148-980-604,produc,1
0,078-470-148-980-604,navig,1
1,024-276-265-590-973,guidelin,4
1,024-276-265-590-973,thesauru,3
1,024-276-265-590-973,option,3
1,024-276-265-590-973,semant,2
1,024-276-265-590-973,problem,2
1,024-276-265-590-973,multilingu,2
1,024-276-265-590-973,variou,2
1,024-276-265-590-973,conceptu,2
1,024-276-265-590-973,issu,2
1,024-276-265-590-973,deal,2
1,024-276-265-590-973,solut,2
1,024-276-265-590-973,truli,2
1,024-276-265-590-973,languag,2
1,024-276-265-590-973,gener,1
1,024-276-265-590-973,linguist,1
1,024-276-265-590-973,specif,1
1,024-276-265-590-973,aris,1
1,024-276-265-590-973,construct,1
1,024-276-265-590-973,defin,1
1,024-276-265-590-973,textbook,1
1,024-276-265-590-973,cover,1
1,024-276-265-590-973,area,1
