,Lens ID_Train,Abstract_Train,index,Lens ID_Test,Abstract_Test,Dickson,Andy,Bill
0,078-470-148-980-604,"Insight into the depth and breadth of knowledge for use in and across disciplines is of vital importance. Our knowledge maps are visualizations based on empirical evidence about both collection characteristics and knowledge clusters such as disciplines. We report in this paper on collaborative efforts over several years, combining the resources of the Knowledge Space Lab and the Research and Innovation Group at DANS. In particular, we were interested in the narrative of how knowledge and knowledge systems change over time. Knowledge organization systems are evolving complex systems. Their analysis, both concerning inner structure, evolution over time, and their implementation in information spaces is important to better understand how knowledge is produced and can be navigated through.",0,097-421-372-053-520,"This paper discusses some problems encountered in hypermedia-based collaboration and reuse, and presents a conceptual framework to resolve these problems. Three suggestions are made based on the discussion: 1) extra organizational structures are necessary in shared hypermedia to support collaborative interactions; 2) an abstract schema is a key to capture the dynamic nature of the shared hypermedia; 3) an integration of the schema evolution approach and the workflow approach is recommended for an open system hypermedia teamwork support. The whole authoring environment is divided into several component spaces with particular respect to the Dexter Hypertext Reference Model. Not only can this separation reduce the overall complexity of working within such an environment, but it also conforms more closely with human cognitive needs in collaborative authoring and reuse acitivites",,,
1,024-276-265-590-973,"General linguistic and specific semantic problems arising in multilingual thesaurus construction are well defined in the various textbooks and in the guidelines covering this area. Many details are provided on the conceptual equivalence issue, and various ways of dealing with conceptual divergence are described. But when discussing semantic solutions, display options, management issues, or use of technology, specialists and guidelines seldom, if ever, go as far as commenting on whether or not a particular option is truly respectful of a language and its speakers. This paper, based on the premise that in a multilingual thesaurus all languages are equal, reviews the options and solutions offered by the guidelines to the developer of specialized thesauri. It also introduces other problems of a sociocultural, and even of a truly political nature, a prominent feature in the daily life of the thesaurus designer with which the theory and the guidelines do not deal very well",1,116-509-832-503-46X,"The paper addresses the ways in which computerization and a thesaurus like the Art and Architecture Thesaurus (AAT) influence the organization, description, and understanding of the visual arts. It discusses these issues from the point of view of the AAT and considers how its structure and content serve as a bridging mechanism between the many different manifestations of the visual arts and the different types of organizations serving the viewers of art, whether as students, scholars, collections managers, or the enjoying public. This paper shows how a knowledge base like the AAT helps this variety of users develop approaches to the visual arts and suggests that the special nature of dealing with image rather than text influences how the thesaurus is structured and applied",,,
2,056-843-928-028-56X,"In this paper, I point to the importance of an often neglected objectivist strand in Paul Otlet's (1868-1944) thinking: his linguistic objectivism. Linguistic objectivism consists in the view that linguistic atoms uniquely correspond to certain discrete and well-defined elements in the world and further combinations of these linguistic atoms can objectively capture ""the order of the world"". This analysis tempers some of the past claims on the influence of positivism on Otlet.",2,043-454-317-567-459,"This article examines the main objective and subjective aspects traceable in the concepts of information, document, knowledge, knowledge organization and level of reality. The hypothesis of the author is that objective and subjective aspects are both present in each of these entities, as it is sometimes implicitly recognized even by some of the authors that usually underline exclusively the objective or the subjective elements of these entities. ""Moderate constructivism"" is the synthesis of objectivism and subjectivism that consists in recognizing that reality is neither completely ""given"" nor completely ""built"" and it constitutes (beyond too marked pseudo-oppositions) the paradigm today de facto dominant both in epistemology studies and in knowledge organization studies.",,,
3,036-074-742-305-080,"An increasing amount of images are being uploaded, shared, and retrieved on the Web. These large image collections need to be properly stored, organized and easily retrieved. Tags have a key role in image retrieval but it is difficult for those who upload the images to also undertake the quality tag assignment for potential future retrieval by others. Relying on professional keyword assignment is not a practical option for large image collections due to resource constraints. Although a number of content-based image retrieval systems have been launched, they have not demonstrated sufficient utility on large-scale image sources on the web, and are usually used as a supplement to existing text-based image retrieval systems. An alternative to professional image indexing can be social tagging -- with two major types being photo-sharing networks and image labeling games. Here we analyze these applications to evaluate their usefulness from the semantic point of view. We also investigate whether social tagging behaviour can be managed. The findings of the study have shown that social tagging can generate a sizeable number of tags that can be classified as interpretive for an image, and that tagging behaviour has a manageable and adjustable nature depending on tagging guidelines.",3,036-149-448-029-082,"The Indexing Branch of the National Agricultural Library (NAL) has launched a project to move from their traditional one-on-one method of training novice indexers to a computer-based, largely self-directed training program. CAIT, the Computer-Assisted Indexing Tutor, has been designed to standardize, streamline and improve the quality of indexer training. In addition, to support the increased need for all NAL indexers to more fully utilize microcomputers for indexing production, the Branch investigated the reinvention of paper versions of frequently used indexing tools as electronic references.",,,
4,064-751-648-054-001,"The necessity and value of models shaped in the human mind in order to support understanding, activities and their control are outlined and mapped with respect to their function in knowledge organization and representation. Advanced understanding of modeling appears as a challenge and chance for the future design of dynamic, learning classification systems, evolving together with the systems they represent, as well as with their environment and theirs users",4,062-055-064-561-85X,"The internet in its Web 2.0 version has given an opportunity among users to be participative and the chance to enhance the existing system, which makes it dynamic and collaborative.The activity of social tagging among researchers to organize the digital resources is an interesting study among information professionals. The one way of organizing the resources for future retrieval through these user-generated terms makes an interesting analysis by comparing them with professionally created controlled vocabularies. Here in this study, an attempt has been made to compare Library of Congress Subject Headings(LCSH) terms with Library Thing social tags. In this comparative analysis, the results show that social tags can be used to enhance the metadata for information retrieval. But still, the uncontrolled nature of social tags is a concern and creates uncertainty among researchers.",,,
5,135-514-499-218-272,"Jens-Erik Mai is Associate Professor in the Faculty of Information at the University of Toronto, where he previously served as Vice Dean and Acting Dean. His research interests lie in the broad area of representation and organization of information; his current scholarship questions the conceptual foundation of classification and seeks to establish an epistemological foundation that accepts the plu- rality of interpretations across communities. He has published on conceptual and methodological is- sues in the organization and representation of information—semiotics, theoretical frameworks, index- ing theory, domain analysis, and cognitive work analysis. His most recent publications explore author- ity and trust in information organization. Mai, Jens-Erik. Folksonomies and the New Order: Authority in the Digital Disorder. Knowledge Organization, 38(2), 114-122. 35 references. ABSTRACT: While the organization and representation of information and knowledge have historically been done by profes- sionals, the rise of social media has spread the notion that this can be done more collaboratively. A more collaborative approach would entail a change in the role of professionals and in the goals and values of the systems. This paper explores the notion of authority and the role of professionals in a changing environment where more people participate in the organization and repre- sentation of information and knowledge. The paper questions the traditional role of the professionals and argues that systems must be designed to facilitate trust and authority, and that the authority of folksonomies and systems comes from the users' collective interpretations and meaning production.",5,061-018-838-320-648,"Claudio Gnoli has been working as an academic librarian since 1994. His main interest is classification theory. He has published papers on this subject in several international journals and conference pro- ceedings. He is a member of the scientific advisory boards of the Universal Decimal Classification Con- sortium (UDCC) and of the journal Knowledge Organization, and vice-president of the International Society for Knowledge Organization (ISKO). Gnoli, Claudio. Metadata About What? Distinguishing Between Ontic, Epistemic, and Documental Dimensions in Knowledge Organization. Knowledge Organization. 39(4), 268-275. 37 references. ABSTRACT: The spread of many new media and formats is changing the scenario faced by knowledge organizers: as printed monographs are not the only standard form of knowledge carrier anymore, the traditional kind of knowl- edge organization (KO) systems based on academic disciplines is put into question. A sounder foundation can be provided by an analysis of the different dimensions concurring to form the content of any knowledge item—what Brian Vickery described as the steps ""from the world to the classifier."" The ultimate referents of documents are the phenomena of the real world, that can be ordered by ontology, the study of what exists. Phenomena coexist in subjects with the perspectives by which they are considered, pertaining to epistemology, and with the formal features of knowledge carriers, adding a further, pragmatic layer. All these di- mensions can be accounted for in metadata, but are often done so in mixed ways, making indexes less rigorous and interoperable. For example, while facet analysis was originally developed for subject indexing, many ""faceted"" interfaces today mix subject fac- ets with form facets, and schemes presented as ""ontologies"" for the ""semantic Web"" also code for non-semantic information. In bibliographic classifications, phenomena are often confused with the disciplines dealing with them, the latter being assumed to be the most useful starting point, for users will have either one or another perspective. A general citation order of dimensions— phenomena, perspective, carrier—is recommended, helping to concentrate most relevant information at the beginning of head- ings.",,,
6,164-013-219-239-121,"Many classifications of standards exist. These are often inconsistent, which may lead to confusion in standardization practice. This article includes an inventory of current classifications and a discussion of their applicability. Based on the new insights, gained from this examination, other possible classifications of standards are suggested. These classifications may be related to the entities the standards refer to or to the users of the standards.",6,179-132-294-510-213,"The design of records classification systems has been subject to various and often inconsistent approaches. Subject matters, record types and forms, structures and functions of the organization: archivists and records managers (whether consciously or unconsciously) have traditionally referred to any of these elements, or to a mix of some or all of them, when developing their classification tools. Only in recent times has the concept of function become central to the theory, method, and practice of records classification. I discuss advantages and limitations of the functional approach applied to records classification by showing how it has been interpreted in the literature of different countries.",,,
7,101-786-473-793-24X,"Knowledge organization research has come to question the theoretical distinction between aboutness (a document's innate content) and meaning (the use to which a document is put). This distinction has relevance beyond Information Studies, particularly in relation to homosexual concerns. Literary criticism, in particular, frequently addresses the question: when is a work about homosexuality? This paper explores this literary debate and its implications for the design of subject access systems for gay and lesbian communities. By examining the literary criticism of Herman Melville's Billy Budd, particularly in relation to the theories of Eve Kosofsky Sedgwick in The Epistemology of the Closet (1990), this paper exposes three tensions that designers of gay and lesbian classifications and vocabularies can expect to face. First is a tension between essentialist and constructivist views of homosexuality, which will affect the choice of terms, categories, and references. Second is a tension between minoritizing and universalizing perspectives on homosexuality. Third is a redefined distinction between aboutness and meaning, in which aboutness refers not to stable document content, but to the system designer's inescapable social and ideological perspectives. Designers of subject access systems can therefore expect to work in a context of intense scrutiny and persistent controversy",7,078-881-949-441-033,"This article discusses the relation between epistemology, social organization and knowledge organization. Three examples are used to show how this relation has proven to be historically stable: 1) ...",,,
8,050-571-717-599-069,"This paper examines Parmenides's Fragments, Plato's The Sophist, and Aristotle's Prior Analytics, Parts of Animals and Generation of Animals to identify three underlying presumptions of classical logic using the method of Foucauldian discourse analysis. These three presumptions are the notion of mutually exclusive categories, teleology in the sense of linear progression toward a goal, and hierarchy both through logical division and through the dominance of some classes over others. These three presumptions are linked to classificatory thought in the western tradition. The purpose of making these connections is to investigate the cultural specificity to western culture of widespread classificatory practice. It is a step in a larger study to examine classification as a cultural construction that may be systemically incompatible with other cultures and with marginalized elements of western culture.",8,116-085-787-369-516,"<p>Knowledge organization systems can have linguistic and conceptual formations of social oppression and exclusion. It is information science’s role to be vigilant in perpetuating seditious discourses which end up reaffirming offenses, prejudices and humiliations to certain groups of people, especially those labeled as marginalized, that is, who are not part of the dominant group holding social power. In the quest for this diversity, this study reviews the literature of the area on how thesauri can become more inclusive and on the role of semantic warrant, specific to the philosophical, literary and cultural warrant. This research highlights the need to review thesaurus construction models so that they can be more open and inclusive to the cultural diversity of today’s society, formed by social actors who claim their spaces and representations. To this end, guidelines are suggested for the construction of thesauri procedures that allow cultural warrant receptivity. </p>",,,
9,100-935-111-075-54X,"Knowledge Organization (KO) is about activities such as document description, indexing and classification performed in libraries, databases, archives etc. These activities are done by librarians, archivists, subject specialists as well as by computer algorithms. KO as a field of study is concerned with the nature and quality of such knowledge organizing processes (KOP) as well as the knowledge organizing systems (KOS) used to organize documents, document representations and concepts. There exist different historical and theoretical approaches to and theories about KO, which are related to different views of knowledge, cognition, language, and social organization. Each of these approaches tends to answer the question: ""What is knowledge organization?"" differently. LIS professionals have often concentrated on applying new technology and standards, and may not have seen their work as involving interpretation and analysis of meaning. That is why library classification has been criticized for a lack of substantive intellectual content. Traditional human-based activities are increasingly challenged by computer-based retrieval techniques. It is appropriate to investigate the relative contributions of different approaches; the current challenges make it imperative to reconsider this understanding. This paper offers an understanding of KO based on an explicit theory of knowledge.",9,046-376-269-492-795,"<p>Traditionally connected to philosophy, the term ontology is increasingly related to information systems areas. Some researchers consider the approaches of the two disciplinary contexts to be completely different. Others consider that, although different, they should talk to each other, as both seek to answer similar questions. With the extensive literature on this topic, we intend to contribute to the understanding of the use of the term ontology in current research and which references support this use. An exploratory study was developed with a mixed methodology and a sample collected from the Web of Science of articles published in 2018. The results show the current prevalence of computer science in studies related to ontology and also of Gruber's view suggesting ontology as kind of conceptualization, a dominant view in that field. Some researchers, particularly in the field of biomedicine, do not adhere to this dominant view but to another one that seems closer to ontological study in the philosophical context. The term ontology, in the context of information systems, appears to be consolidating with a meaning different from the original, presenting traces of the process of “metaphorization” in the transfer of the term between the two fields of study.</p>",,,
