,new_index,Lens ID_Train,index,Abstract_Train,Abstract_trim_2_Train,Lens ID_Test,Abstract_Test,Abstract_trim_2_Test,Dickson,Andy,Bill
0,0hello,185-129-272-793-400,0,"Reports on investigations conducted at the Institute for Scientific, Technical and Economic Information (ISTEI) in Warsaw (Poland) in 1992-1993. These investigations aimed at a comparative analysis of four indexing languages (ILs) developed and/or used in Poland and at the establishment of concordances between them. These were the following ILs: Polish Thematic Classification (PTC) descriptor language based on the Thesaurus of Common Topics (TCT), Universal Decimal Classification (UDC), Subject-Heading Language of the National Library in Warsaw (SHL). When establishing concordances the PTC was chosen as the master language whereas the three other ILs served as target languages","['report', 'investig', 'conduct', 'institut', 'scientif', 'technic', 'econom', 'warsaw', 'poland', '1992', '1993', 'investig', 'aim', 'compar', 'analysi', 'languag', 'use', 'poland', 'establish', 'concord', 'follow', 'polish', 'themat', 'ptc', 'descriptor', 'languag', 'thesauru', 'common', 'topic', 'univers', 'decim', 'udc', 'head', 'languag', 'nation', 'warsaw', 'establish', 'concord', 'ptc', 'chosen', 'master', 'languag', 'wherea', 'serv', 'target', 'languag']",097-421-372-053-520,"This paper discusses some problems encountered in hypermedia-based collaboration and reuse, and presents a conceptual framework to resolve these problems. Three suggestions are made based on the discussion: 1) extra organizational structures are necessary in shared hypermedia to support collaborative interactions; 2) an abstract schema is a key to capture the dynamic nature of the shared hypermedia; 3) an integration of the schema evolution approach and the workflow approach is recommended for an open system hypermedia teamwork support. The whole authoring environment is divided into several component spaces with particular respect to the Dexter Hypertext Reference Model. Not only can this separation reduce the overall complexity of working within such an environment, but it also conforms more closely with human cognitive needs in collaborative authoring and reuse acitivites","['discuss', 'problem', 'encount', 'hypermedia', 'collabor', 'reus', 'conceptu', 'framework', 'resolv', 'problem', 'suggest', 'made', 'discuss', 'extra', 'organiz', 'structur', 'necessari', 'share', 'hypermedia', 'support', 'collabor', 'interact', 'abstract', 'schema', 'key', 'captur', 'dynam', 'natur', 'share', 'hypermedia', 'integr', 'schema', 'evolut', 'workflow', 'recommend', 'open', 'system', 'hypermedia', 'teamwork', 'support', 'whole', 'environ', 'divid', 'sever', 'compon', 'space', 'particular', 'respect', 'dexter', 'hypertext', 'refer', 'model', 'separ', 'reduc', 'overal', 'complex', 'environ', 'conform', 'close', 'human', 'cognit', 'collabor', 'reus', 'acitivit']",,,
1,1hello,160-606-850-771-257,1,"The pervasiveness of classification in all human activities is described. Classification is characterized as being relative, utilitarian, and artificial. The importance of classification in library settings and academic disciplines is documented. Classification is described as an emerging, independent discipline.","['pervas', 'human', 'activ', 'describ', 'character', 'rel', 'utilitarian', 'artifici', 'import', 'set', 'academ', 'disciplin', 'document', 'describ', 'emerg', 'independ', 'disciplin']",116-509-832-503-46X,"The paper addresses the ways in which computerization and a thesaurus like the Art and Architecture Thesaurus (AAT) influence the organization, description, and understanding of the visual arts. It discusses these issues from the point of view of the AAT and considers how its structure and content serve as a bridging mechanism between the many different manifestations of the visual arts and the different types of organizations serving the viewers of art, whether as students, scholars, collections managers, or the enjoying public. This paper shows how a knowledge base like the AAT helps this variety of users develop approaches to the visual arts and suggests that the special nature of dealing with image rather than text influences how the thesaurus is structured and applied","['address', 'computer', 'thesauru', 'like', 'art', 'architectur', 'thesauru', 'influenc', 'descript', 'understand', 'visual', 'art', 'discuss', 'issu', 'view', 'consid', 'structur', 'content', 'serv', 'bridg', 'mechan', 'mani', 'manifest', 'visual', 'art', 'type', 'serv', 'viewer', 'art', 'whether', 'student', 'scholar', 'collect', 'manag', 'enjoy', 'public', 'show', 'like', 'help', 'varieti', 'visual', 'art', 'suggest', 'special', 'natur', 'deal', 'imag', 'rather', 'text', 'influenc', 'thesauru', 'structur', 'appli']",,,
2,2hello,185-129-272-793-400,2,"Reports on investigations conducted at the Institute for Scientific, Technical and Economic Information (ISTEI) in Warsaw (Poland) in 1992-1993. These investigations aimed at a comparative analysis of four indexing languages (ILs) developed and/or used in Poland and at the establishment of concordances between them. These were the following ILs: Polish Thematic Classification (PTC) descriptor language based on the Thesaurus of Common Topics (TCT), Universal Decimal Classification (UDC), Subject-Heading Language of the National Library in Warsaw (SHL). When establishing concordances the PTC was chosen as the master language whereas the three other ILs served as target languages","['report', 'investig', 'conduct', 'institut', 'scientif', 'technic', 'econom', 'warsaw', 'poland', '1992', '1993', 'investig', 'aim', 'compar', 'analysi', 'languag', 'use', 'poland', 'establish', 'concord', 'follow', 'polish', 'themat', 'ptc', 'descriptor', 'languag', 'thesauru', 'common', 'topic', 'univers', 'decim', 'udc', 'head', 'languag', 'nation', 'warsaw', 'establish', 'concord', 'ptc', 'chosen', 'master', 'languag', 'wherea', 'serv', 'target', 'languag']",043-454-317-567-459,"This article examines the main objective and subjective aspects traceable in the concepts of information, document, knowledge, knowledge organization and level of reality. The hypothesis of the author is that objective and subjective aspects are both present in each of these entities, as it is sometimes implicitly recognized even by some of the authors that usually underline exclusively the objective or the subjective elements of these entities. ""Moderate constructivism"" is the synthesis of objectivism and subjectivism that consists in recognizing that reality is neither completely ""given"" nor completely ""built"" and it constitutes (beyond too marked pseudo-oppositions) the paradigm today de facto dominant both in epistemology studies and in knowledge organization studies.","['articl', 'examin', 'main', 'object', 'aspect', 'traceabl', 'concept', 'document', 'level', 'realiti', 'hypothesi', 'object', 'aspect', 'entiti', 'sometim', 'implicitli', 'recogn', 'even', 'usual', 'underlin', 'exclus', 'object', 'element', 'entiti', 'moder', 'constructiv', 'synthesi', 'objectiv', 'subjectiv', 'consist', 'recogn', 'realiti', 'neither', 'complet', 'given', 'complet', 'built', 'constitut', 'beyond', 'mark', 'pseudo', 'opposit', 'paradigm', 'facto', 'domin', 'epistemolog']",,,
3,3hello,160-606-850-771-257,3,"The pervasiveness of classification in all human activities is described. Classification is characterized as being relative, utilitarian, and artificial. The importance of classification in library settings and academic disciplines is documented. Classification is described as an emerging, independent discipline.","['pervas', 'human', 'activ', 'describ', 'character', 'rel', 'utilitarian', 'artifici', 'import', 'set', 'academ', 'disciplin', 'document', 'describ', 'emerg', 'independ', 'disciplin']",036-149-448-029-082,"The Indexing Branch of the National Agricultural Library (NAL) has launched a project to move from their traditional one-on-one method of training novice indexers to a computer-based, largely self-directed training program. CAIT, the Computer-Assisted Indexing Tutor, has been designed to standardize, streamline and improve the quality of indexer training. In addition, to support the increased need for all NAL indexers to more fully utilize microcomputers for indexing production, the Branch investigated the reinvention of paper versions of frequently used indexing tools as electronic references.","['branch', 'nation', 'agricultur', 'nal', 'launch', 'project', 'move', 'tradit', 'method', 'train', 'novic', 'comput', 'larg', 'self', 'direct', 'train', 'program', 'cait', 'comput', 'assist', 'tutor', 'design', 'standard', 'streamlin', 'improv', 'qualiti', 'train', 'addit', 'support', 'increas', 'nal', 'fulli', 'util', 'microcomput', 'product', 'branch', 'investig', 'reinvent', 'version', 'frequent', 'use', 'tool', 'electron', 'refer']",,,
4,4hello,012-309-807-113-075,4,"Sao Paulo State Univ UNESP, Grad Sch Informat Sci, Ave Hygino Muzzi Filho 737, BR-17525000 Marilia, SP, Brazil","['sao', 'paulo', 'state', 'univ', 'unesp', 'grad', 'informat', 'sci', 'hygino', 'muzzi', 'filho', 'marilia', 'brazil']",062-055-064-561-85X,"The internet in its Web 2.0 version has given an opportunity among users to be participative and the chance to enhance the existing system, which makes it dynamic and collaborative.The activity of social tagging among researchers to organize the digital resources is an interesting study among information professionals. The one way of organizing the resources for future retrieval through these user-generated terms makes an interesting analysis by comparing them with professionally created controlled vocabularies. Here in this study, an attempt has been made to compare Library of Congress Subject Headings(LCSH) terms with Library Thing social tags. In this comparative analysis, the results show that social tags can be used to enhance the metadata for information retrieval. But still, the uncontrolled nature of social tags is a concern and creates uncertainty among researchers.","['internet', 'web', 'version', 'given', 'opportun', 'among', 'particip', 'chanc', 'enhanc', 'exist', 'system', 'make', 'dynam', 'collabor', 'activ', 'social', 'tag', 'among', 'research', 'digit', 'resourc', 'interest', 'among', 'profession', 'resourc', 'futur', 'retriev', 'gener', 'make', 'interest', 'analysi', 'compar', 'profession', 'creat', 'control', 'vocabulari', 'attempt', 'made', 'compar', 'congress', 'head', 'thing', 'social', 'tag', 'compar', 'analysi', 'result', 'show', 'social', 'tag', 'use', 'enhanc', 'metadata', 'retriev', 'still', 'uncontrol', 'natur', 'social', 'tag', 'concern', 'creat', 'uncertainti', 'among', 'research']",,,
5,5hello,012-309-807-113-075,5,"Sao Paulo State Univ UNESP, Grad Sch Informat Sci, Ave Hygino Muzzi Filho 737, BR-17525000 Marilia, SP, Brazil","['sao', 'paulo', 'state', 'univ', 'unesp', 'grad', 'informat', 'sci', 'hygino', 'muzzi', 'filho', 'marilia', 'brazil']",061-018-838-320-648,"Claudio Gnoli has been working as an academic librarian since 1994. His main interest is classification theory. He has published papers on this subject in several international journals and conference pro- ceedings. He is a member of the scientific advisory boards of the Universal Decimal Classification Con- sortium (UDCC) and of the journal Knowledge Organization, and vice-president of the International Society for Knowledge Organization (ISKO). Gnoli, Claudio. Metadata About What? Distinguishing Between Ontic, Epistemic, and Documental Dimensions in Knowledge Organization. Knowledge Organization. 39(4), 268-275. 37 references. ABSTRACT: The spread of many new media and formats is changing the scenario faced by knowledge organizers: as printed monographs are not the only standard form of knowledge carrier anymore, the traditional kind of knowl- edge organization (KO) systems based on academic disciplines is put into question. A sounder foundation can be provided by an analysis of the different dimensions concurring to form the content of any knowledge item—what Brian Vickery described as the steps ""from the world to the classifier."" The ultimate referents of documents are the phenomena of the real world, that can be ordered by ontology, the study of what exists. Phenomena coexist in subjects with the perspectives by which they are considered, pertaining to epistemology, and with the formal features of knowledge carriers, adding a further, pragmatic layer. All these di- mensions can be accounted for in metadata, but are often done so in mixed ways, making indexes less rigorous and interoperable. For example, while facet analysis was originally developed for subject indexing, many ""faceted"" interfaces today mix subject fac- ets with form facets, and schemes presented as ""ontologies"" for the ""semantic Web"" also code for non-semantic information. In bibliographic classifications, phenomena are often confused with the disciplines dealing with them, the latter being assumed to be the most useful starting point, for users will have either one or another perspective. A general citation order of dimensions— phenomena, perspective, carrier—is recommended, helping to concentrate most relevant information at the beginning of head- ings.","['claudio', 'gnoli', 'academ', 'librarian', 'sinc', '1994', 'main', 'interest', 'theori', 'publish', 'sever', 'intern', 'journal', 'confer', 'ceed', 'member', 'scientif', 'advisori', 'board', 'univers', 'decim', 'con', 'sortium', 'udcc', 'journal', 'vice', 'presid', 'intern', 'societi', 'isko', 'gnoli', 'claudio', 'metadata', 'distinguish', 'ontic', 'epistem', 'document', 'dimens', 'refer', 'abstract', 'spread', 'mani', 'new', 'media', 'format', 'chang', 'scenario', 'face', 'print', 'monograph', 'standard', 'form', 'carrier', 'anymor', 'tradit', 'kind', 'knowl', 'edg', 'system', 'academ', 'disciplin', 'question', 'sounder', 'foundat', 'analysi', 'dimens', 'concur', 'form', 'content', 'item', 'brian', 'vickeri', 'describ', 'step', 'world', 'classifi', 'ultim', 'refer', 'document', 'phenomena', 'world', 'order', 'ontolog', 'exist', 'phenomena', 'coexist', 'perspect', 'consid', 'pertain', 'epistemolog', 'formal', 'featur', 'carrier', 'ad', 'pragmat', 'layer', 'mension', 'account', 'metadata', 'often', 'done', 'mix', 'make', 'less', 'rigor', 'interoper', 'exampl', 'facet', 'analysi', 'origin', 'mani', 'facet', 'interfac', 'mix', 'form', 'facet', 'scheme', 'ontolog', 'semant', 'web', 'code', 'semant', 'bibliograph', 'phenomena', 'often', 'confus', 'disciplin', 'deal', 'latter', 'assum', 'use', 'start', 'either', 'anoth', 'perspect', 'gener', 'citat', 'order', 'dimens', 'phenomena', 'perspect', 'carrier', 'recommend', 'help', 'concentr', 'relev', 'begin', 'head', 'ing']",,,
6,6hello,185-129-272-793-400,6,"Reports on investigations conducted at the Institute for Scientific, Technical and Economic Information (ISTEI) in Warsaw (Poland) in 1992-1993. These investigations aimed at a comparative analysis of four indexing languages (ILs) developed and/or used in Poland and at the establishment of concordances between them. These were the following ILs: Polish Thematic Classification (PTC) descriptor language based on the Thesaurus of Common Topics (TCT), Universal Decimal Classification (UDC), Subject-Heading Language of the National Library in Warsaw (SHL). When establishing concordances the PTC was chosen as the master language whereas the three other ILs served as target languages","['report', 'investig', 'conduct', 'institut', 'scientif', 'technic', 'econom', 'warsaw', 'poland', '1992', '1993', 'investig', 'aim', 'compar', 'analysi', 'languag', 'use', 'poland', 'establish', 'concord', 'follow', 'polish', 'themat', 'ptc', 'descriptor', 'languag', 'thesauru', 'common', 'topic', 'univers', 'decim', 'udc', 'head', 'languag', 'nation', 'warsaw', 'establish', 'concord', 'ptc', 'chosen', 'master', 'languag', 'wherea', 'serv', 'target', 'languag']",179-132-294-510-213,"The design of records classification systems has been subject to various and often inconsistent approaches. Subject matters, record types and forms, structures and functions of the organization: archivists and records managers (whether consciously or unconsciously) have traditionally referred to any of these elements, or to a mix of some or all of them, when developing their classification tools. Only in recent times has the concept of function become central to the theory, method, and practice of records classification. I discuss advantages and limitations of the functional approach applied to records classification by showing how it has been interpreted in the literature of different countries.","['design', 'record', 'system', 'variou', 'often', 'inconsist', 'matter', 'record', 'type', 'form', 'structur', 'function', 'archivist', 'record', 'manag', 'whether', 'conscious', 'unconsci', 'tradit', 'refer', 'element', 'mix', 'tool', 'recent', 'time', 'concept', 'function', 'becom', 'central', 'theori', 'method', 'practic', 'record', 'discuss', 'advantag', 'limit', 'function', 'appli', 'record', 'show', 'interpret', 'literatur', 'countri']",,,
7,7hello,120-767-088-360-769,7,"This paper gives an overview of the history, development, and structure of the electronic thesauri produced and maintained by the Getty Research Institute (GRI). We describe the evolution of the Art and Architecture Thesaurus (AAT), the Getty Thesaurus of Geographic Names (TGN), and the Union List of Artist Names (ULAN) as multilingual, cross-cultural knowledge organization systems (KOS); the factors that make them unique; and their potential, when expressed as Linked Open Data (LOD) to play a key role in the Semantic Web.","['give', 'overview', 'histori', 'structur', 'electron', 'thesauri', 'produc', 'maintain', 'getti', 'research', 'institut', 'describ', 'evolut', 'art', 'architectur', 'thesauru', 'getti', 'thesauru', 'geograph', 'name', 'union', 'list', 'artist', 'name', 'ulan', 'multilingu', 'cross', 'cultur', 'system', 'factor', 'make', 'uniqu', 'potenti', 'express', 'link', 'open', 'data', 'lod', 'play', 'key', 'role', 'semant', 'web']",078-881-949-441-033,"This article discusses the relation between epistemology, social organization and knowledge organization. Three examples are used to show how this relation has proven to be historically stable: 1) ...","['articl', 'discuss', 'relat', 'epistemolog', 'social', 'exampl', 'use', 'show', 'relat', 'proven', 'histor', 'stabl']",,,
8,8hello,135-471-224-323-287,8,"Part-of-speech (POS) taggers are used in an increasing number of terminology applications. However, terminologists do not know exactly how they perform on specialized texts since most POS taggers have been trained on general corpora, that is, corpora containing all sorts of undifferentiated texts. In this article, we evaluate the performance of two POS taggers on French and English medical texts. The taggers are TnT (a statistical tagger developed at Saarland University (Brants 2000)) and WinBrill (the Windows version of the tagger initially developed by Eric Brill (1992)). Ten extracts from medical texts were submitted to the taggers and the outputs scanned manually. Results pertain to the accuracy of tagging in terms of correctly and incorrectly tagged words. We also study the handling of unknown words from different viewpoints.","['speech', 'tagger', 'use', 'increas', 'number', 'terminolog', 'applic', 'howev', 'terminologist', 'know', 'exactli', 'perform', 'special', 'text', 'sinc', 'tagger', 'train', 'gener', 'corpora', 'corpora', 'contain', 'sort', 'undifferenti', 'text', 'articl', 'evalu', 'perform', 'tagger', 'french', 'english', 'medic', 'text', 'tagger', 'tnt', 'statist', 'tagger', 'saarland', 'univers', 'brant', '2000', 'winbril', 'window', 'version', 'tagger', 'initi', 'eric', 'brill', '1992', 'extract', 'medic', 'text', 'submit', 'tagger', 'output', 'scan', 'manual', 'result', 'pertain', 'accuraci', 'tag', 'correctli', 'incorrectli', 'tag', 'word', 'handl', 'unknown', 'word', 'viewpoint']",116-085-787-369-516,"<p>Knowledge organization systems can have linguistic and conceptual formations of social oppression and exclusion. It is information science’s role to be vigilant in perpetuating seditious discourses which end up reaffirming offenses, prejudices and humiliations to certain groups of people, especially those labeled as marginalized, that is, who are not part of the dominant group holding social power. In the quest for this diversity, this study reviews the literature of the area on how thesauri can become more inclusive and on the role of semantic warrant, specific to the philosophical, literary and cultural warrant. This research highlights the need to review thesaurus construction models so that they can be more open and inclusive to the cultural diversity of today’s society, formed by social actors who claim their spaces and representations. To this end, guidelines are suggested for the construction of thesauri procedures that allow cultural warrant receptivity. </p>","['system', 'linguist', 'conceptu', 'format', 'social', 'oppress', 'exclus', 'role', 'vigil', 'perpetu', 'sediti', 'discours', 'reaffirm', 'offens', 'prejudic', 'humili', 'certain', 'group', 'peopl', 'especi', 'label', 'margin', 'domin', 'group', 'hold', 'social', 'power', 'quest', 'divers', 'review', 'literatur', 'area', 'thesauri', 'becom', 'inclus', 'role', 'semant', 'warrant', 'specif', 'philosoph', 'literari', 'cultur', 'warrant', 'research', 'highlight', 'review', 'thesauru', 'construct', 'model', 'open', 'inclus', 'cultur', 'divers', 'societi', 'form', 'social', 'actor', 'claim', 'space', 'represent', 'guidelin', 'suggest', 'construct', 'thesauri', 'procedur', 'allow', 'cultur', 'warrant', 'recept']",,,
9,9hello,160-606-850-771-257,9,"The pervasiveness of classification in all human activities is described. Classification is characterized as being relative, utilitarian, and artificial. The importance of classification in library settings and academic disciplines is documented. Classification is described as an emerging, independent discipline.","['pervas', 'human', 'activ', 'describ', 'character', 'rel', 'utilitarian', 'artifici', 'import', 'set', 'academ', 'disciplin', 'document', 'describ', 'emerg', 'independ', 'disciplin']",046-376-269-492-795,"<p>Traditionally connected to philosophy, the term ontology is increasingly related to information systems areas. Some researchers consider the approaches of the two disciplinary contexts to be completely different. Others consider that, although different, they should talk to each other, as both seek to answer similar questions. With the extensive literature on this topic, we intend to contribute to the understanding of the use of the term ontology in current research and which references support this use. An exploratory study was developed with a mixed methodology and a sample collected from the Web of Science of articles published in 2018. The results show the current prevalence of computer science in studies related to ontology and also of Gruber's view suggesting ontology as kind of conceptualization, a dominant view in that field. Some researchers, particularly in the field of biomedicine, do not adhere to this dominant view but to another one that seems closer to ontological study in the philosophical context. The term ontology, in the context of information systems, appears to be consolidating with a meaning different from the original, presenting traces of the process of “metaphorization” in the transfer of the term between the two fields of study.</p>","['tradit', 'connect', 'philosophi', 'ontolog', 'increasingli', 'relat', 'system', 'area', 'research', 'consid', 'disciplinari', 'context', 'complet', 'other', 'consid', 'although', 'talk', 'seek', 'answer', 'similar', 'question', 'extens', 'literatur', 'topic', 'intend', 'contribut', 'understand', 'use', 'ontolog', 'current', 'research', 'refer', 'support', 'use', 'exploratori', 'mix', 'methodolog', 'sampl', 'collect', 'web', 'articl', 'publish', '2018', 'result', 'show', 'current', 'preval', 'comput', 'relat', 'ontolog', 'gruber', 'view', 'suggest', 'ontolog', 'kind', 'conceptu', 'domin', 'view', 'research', 'particularli', 'biomedicin', 'adher', 'domin', 'view', 'anoth', 'seem', 'closer', 'ontolog', 'philosoph', 'context', 'ontolog', 'context', 'system', 'appear', 'consolid', 'mean', 'origin', 'trace', 'process', 'metaphor', 'transfer']",,,
